rate,distortion,round
4.006604265900699,2.3406325238900285,153
4.0066056991194765,2.3406235508241084,154
4.006607127220103,2.340614608194631,155
4.0066085502282105,2.3406056955669126,156
4.006609968165349,2.34059681253707,157
4.0066113810495105,2.340587958729412,158
4.006612788895612,2.340579133794053,159
4.00661419171594,2.3405703374047024,160
4.006615589520536,2.340561569256645,161
4.006616982317563,2.340552829064877,162
4.00661837011362,2.340544116562397,163
4.006619752914033,2.3405354314986337,164
4.006621130723116,2.340526773638008,165
4.006622503544408,2.340518142758603,166
4.006623871380872,2.3405095386509545,167
4.0066252342350905,2.34050096111693,168
4.006626592109426,2.340492409968713,169
4.006627945006169,2.3404838850278655,170
4.006629292927668,2.340475386124464,171
4.006630635876441,2.3404669130963236,172
4.006631973855275,2.3404584657882723,173
4.006633306867321,2.340450044051497,174
4.006634634916154,2.34044164774294,175
4.006635958005854,2.3404332767247547,176
4.0066372761410465,2.340424930863802,177
4.006638589326955,2.3404166100311943,178
4.006639897569436,2.3404083141018797,179
4.006641200875016,2.3404000429542657,180
4.0066424992509075,2.3403917964698713,181
4.006643792705025,2.340383574533019,182
4.006645081246016,2.340375377030547,183
4.006646364883239,2.3403672038515557,184
4.006647643626803,2.3403590548871755,185
4.0066489174875315,2.340350930030356,186
4.006650186476989,2.3403428291756794,187
4.006651450607459,2.340334752219189,188
4.00665270989193,2.3403266990582394,189
4.006653964344102,2.340318669591359,190
4.00665521397836,2.34031066371813,191
4.006656458809755,2.3403026813390824,192
4.006657698854,2.340294722355597,193
4.0066589341274375,2.340286786669824,194
4.006660164647031,2.3402788741846092,195
4.006661390430338,2.340270984803431,196
4.006662611495485,2.3402631184303497,197
4.0066638278611535,2.3402552749699557,198
4.006665039546551,2.340247454327335,199
